Jaegersborggade, 9x7, amateur, d = 4

[95mAlphaBeta[0m
         2488808989 function calls (1150783720 primitive calls) in 3296.220 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      273    0.000    0.000    0.000    0.000 client.py:894(_output)
       39    0.000    0.000    0.055    0.001 client.py:901(_send_output)
       39    0.000    0.000    0.002    0.000 client.py:915(putrequest)
       39    0.000    0.000    0.050    0.001 connection.py:120(_new_conn)
       39    0.000    0.000    0.000    0.000 connection.py:143(_prepare_conn)
       39    0.000    0.000    0.051    0.001 connection.py:154(connect)
       39    0.001    0.000    0.050    0.001 connection.py:48(create_connection)
       39    0.000    0.000    0.000    0.000 connection.py:93(_set_socket_options)
       39    0.000    0.000    0.001    0.000 connection.py:99(__init__)
       39    0.001    0.000    0.006    0.000 connectionpool.py:157(__init__)
       39    0.000    0.000    0.001    0.000 connectionpool.py:197(_new_conn)
       39    0.000    0.000    0.002    0.000 connectionpool.py:210(_get_conn)
       39    0.000    0.000    0.001    0.000 connectionpool.py:248(_put_conn)
       39    0.000    0.000    0.000    0.000 connectionpool.py:278(_validate_conn)
       78    0.000    0.000    0.001    0.000 connectionpool.py:288(_get_timeout)
       39    0.001    0.000    9.636    0.247 connectionpool.py:317(_make_request)
       39    0.001    0.000    0.011    0.000 connectionpool.py:386(close)
       39    0.001    0.000    9.646    0.247 connectionpool.py:421(urlopen)
       39    0.000    0.000    0.000    0.000 connectionpool.py:63(__init__)
      234    0.001    0.000    0.001    0.000 cookiejar.py:1197(vals_sorted_by_key)
      234    0.000    0.000    0.001    0.000 cookiejar.py:1201(deepvalues)
      156    0.001    0.000    0.002    0.000 cookiejar.py:1236(__init__)
       39    0.000    0.000    0.000    0.000 cookiejar.py:1265(_cookies_for_request)
       39    0.000    0.000    0.000    0.000 cookiejar.py:1272(_cookie_attrs)
       39    0.000    0.000    0.001    0.000 cookiejar.py:1331(add_cookie_header)
       78    0.000    0.000    0.001    0.000 cookiejar.py:1574(make_cookies)
       78    0.001    0.000    0.002    0.000 cookiejar.py:1654(extract_cookies)
       39    0.000    0.000    0.000    0.000 cookiejar.py:1710(clear_expired_cookies)
      234    0.000    0.000    0.000    0.000 cookiejar.py:1729(__iter__)
      117    0.000    0.000    0.000    0.000 cookiejar.py:46(_debug)
      156    0.000    0.000    0.000    0.000 cookiejar.py:870(__init__)
       78    0.000    0.000    0.000    0.000 cookies.py:101(__init__)
      156    0.000    0.000    0.000    0.000 cookies.py:108(info)
       78    0.001    0.000    0.005    0.000 cookies.py:115(extract_cookies_to_jar)
       39    0.000    0.000    0.003    0.000 cookies.py:132(get_cookie_header)
       78    0.000    0.000    0.000    0.000 cookies.py:302(update)
      117    0.001    0.000    0.003    0.000 cookies.py:34(__init__)
      117    0.001    0.000    0.004    0.000 cookies.py:440(cookiejar_from_dict)
      117    0.000    0.000    0.001    0.000 cookies.py:452(<listcomp>)
