[95mAlphaBeta[0m
         1457038397 function calls (-531564769 primitive calls) in 5076.367 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       28    0.000    0.000    0.000    0.000 client.py:894(_output)
        4    0.000    0.000    0.004    0.001 client.py:901(_send_output)
        4    0.000    0.000    0.000    0.000 client.py:915(putrequest)
        4    0.000    0.000    0.004    0.001 connection.py:120(_new_conn)
        4    0.000    0.000    0.000    0.000 connection.py:143(_prepare_conn)
        4    0.000    0.000    0.004    0.001 connection.py:154(connect)
        4    0.000    0.000    0.004    0.001 connection.py:48(create_connection)
        4    0.000    0.000    0.000    0.000 connection.py:93(_set_socket_options)
        4    0.000    0.000    0.000    0.000 connection.py:99(__init__)
        4    0.000    0.000    0.001    0.000 connectionpool.py:157(__init__)
        4    0.000    0.000    0.000    0.000 connectionpool.py:197(_new_conn)
        4    0.000    0.000    0.000    0.000 connectionpool.py:210(_get_conn)
        4    0.000    0.000    0.000    0.000 connectionpool.py:248(_put_conn)
        4    0.000    0.000    0.000    0.000 connectionpool.py:278(_validate_conn)
        8    0.000    0.000    0.000    0.000 connectionpool.py:288(_get_timeout)
        4    0.000    0.000    0.128    0.032 connectionpool.py:317(_make_request)
        4    0.000    0.000    0.001    0.000 connectionpool.py:386(close)
        4    0.000    0.000    0.129    0.032 connectionpool.py:421(urlopen)
        4    0.000    0.000    0.000    0.000 connectionpool.py:63(__init__)
       24    0.000    0.000    0.000    0.000 cookiejar.py:1197(vals_sorted_by_key)
       24    0.000    0.000    0.000    0.000 cookiejar.py:1201(deepvalues)
       16    0.000    0.000    0.000    0.000 cookiejar.py:1236(__init__)
        4    0.000    0.000    0.000    0.000 cookiejar.py:1265(_cookies_for_request)
        4    0.000    0.000    0.000    0.000 cookiejar.py:1272(_cookie_attrs)
        4    0.000    0.000    0.000    0.000 cookiejar.py:1331(add_cookie_header)
        8    0.000    0.000    0.000    0.000 cookiejar.py:1574(make_cookies)
        8    0.000    0.000    0.000    0.000 cookiejar.py:1654(extract_cookies)
        4    0.000    0.000    0.000    0.000 cookiejar.py:1710(clear_expired_cookies)
       24    0.000    0.000    0.000    0.000 cookiejar.py:1729(__iter__)
       12    0.000    0.000    0.000    0.000 cookiejar.py:46(_debug)
       16    0.000    0.000    0.000    0.000 cookiejar.py:870(__init__)
        8    0.000    0.000    0.000    0.000 cookies.py:101(__init__)
       16    0.000    0.000    0.000    0.000 cookies.py:108(info)
        8    0.000    0.000    0.000    0.000 cookies.py:115(extract_cookies_to_jar)
        4    0.000    0.000    0.000    0.000 cookies.py:132(get_cookie_header)
        8    0.000    0.000    0.000    0.000 cookies.py:302(update)
       12    0.000    0.000    0.000    0.000 cookies.py:34(__init__)
       12    0.000    0.000    0.000    0.000 cookies.py:440(cookiejar_from_dict)
       12    0.000    0.000    0.000    0.000 cookies.py:452(<listcomp>)
        8    0.000    0.000    0.000    0.000 cookies.py:460(merge_cookies)
        4    0.000    0.000    0.000    0.000 cookies.py:78(get_new_headers)
        1    0.000    0.000 5076.357 5076.357 copenbægent.py:103(go_to_location)
        1    0.000    0.000    0.014    0.014 copenbægent.py:229(papersoccer_enter)
        1    0.000    0.000    0.110    0.110 copenbægent.py:241(papersoccer_play)
        1    0.000    0.000 5076.350 5076.350 copenbægent.py:246(papersoccer_compete)
        1    0.000    0.000 5076.357 5076.357 copenbægent.py:265(go_to_papersoccer_location)
        1    0.000    0.000 5076.367 5076.367 copenbægent.py:334(main)
        4    0.000    0.000    0.141    0.035 copenbægent.py:50(call_api)
        1    0.000    0.000    0.010    0.010 copenbægent.py:75(map_enter)
        1    0.000    0.000    0.007    0.007 copenbægent.py:83(map_bike)
1763377369/2197329 2808.018    0.000 4849.897    0.002 copy.py:137(deepcopy)
1534855214  133.238    0.000  133.238    0.000 copy.py:192(_deepcopy_atomic)
228522154/2197329 1050.485    0.000 4840.258    0.002 copy.py:240(_deepcopy_dict)
228522152  179.247    0.000  234.121    0.000 copy.py:254(_keep_alive)
        2    0.000    0.000    0.000    0.000 cp1252.py:18(encode)
        4    0.000    0.000    0.001    0.000 decoder.py:334(decode)
        4    0.001    0.000    0.001    0.000 decoder.py:345(raw_decode)
       16    0.000    0.000    0.000    0.000 enum.py:209(__call__)
       16    0.000    0.000    0.000    0.000 enum.py:453(__new__)
        8    0.000    0.000    0.000    0.000 feedparser.py:122(pushlines)
        8    0.000    0.000    0.000    0.000 feedparser.py:125(__iter__)
       40    0.000    0.000    0.000    0.000 feedparser.py:128(__next__)
        4    0.000    0.000    0.000    0.000 feedparser.py:139(__init__)
        4    0.000    0.000    0.000    0.000 feedparser.py:148(<lambda>)
        4    0.000    0.000    0.001    0.000 feedparser.py:175(feed)
        8    0.000    0.000    0.001    0.000 feedparser.py:180(_call_parse)
        4    0.000    0.000    0.000    0.000 feedparser.py:186(close)
        4    0.000    0.000    0.000    0.000 feedparser.py:199(_new_message)
        4    0.000    0.000    0.000    0.000 feedparser.py:209(_pop_message)
        8    0.000    0.000    0.001    0.000 feedparser.py:217(_parsegen)
        4    0.000    0.000    0.000    0.000 feedparser.py:470(_parse_headers)
        4    0.000    0.000    0.000    0.000 feedparser.py:53(__init__)
        4    0.000    0.000    0.000    0.000 feedparser.py:69(close)
       40    0.000    0.000    0.000    0.000 feedparser.py:75(readline)
        4    0.000    0.000    0.000    0.000 feedparser.py:98(push)
        8    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
       12    0.000    0.000    0.000    0.000 hooks.py:20(default_hooks)
        4    0.000    0.000    0.000    0.000 hooks.py:29(dispatch_hook)
        8    0.000    0.000    0.000    0.000 idna.py:147(encode)
        8    0.000    0.000    0.000    0.000 message.py:121(__init__)
       16    0.000    0.000    0.000    0.000 message.py:30(_splitparam)
        4    0.000    0.000    0.000    0.000 message.py:304(set_payload)
        4    0.000    0.000    0.000    0.000 message.py:452(items)
        4    0.000    0.000    0.000    0.000 message.py:460(<listcomp>)
       36    0.000    0.000    0.000    0.000 message.py:463(get)
       28    0.000    0.000    0.000    0.000 message.py:480(set_raw)
       16    0.000    0.000    0.000    0.000 message.py:498(get_all)
       16    0.000    0.000    0.000    0.000 message.py:565(get_content_type)
       12    0.000    0.000    0.000    0.000 message.py:589(get_content_maintype)
        4    0.000    0.000    0.000    0.000 models.py:163(register_hook)
        4    0.000    0.000    0.000    0.000 models.py:172(<genexpr>)
        4    0.000    0.000    0.000    0.000 models.py:210(__init__)
        4    0.000    0.000    0.000    0.000 models.py:283(__init__)
        4    0.000    0.000    0.001    0.000 models.py:298(prepare)
        4    0.000    0.000    0.000    0.000 models.py:328(prepare_method)
        4    0.000    0.000    0.001    0.000 models.py:334(prepare_url)
        4    0.000    0.000    0.000    0.000 models.py:407(prepare_headers)
       24    0.000    0.000    0.000    0.000 models.py:411(<genexpr>)
        4    0.000    0.000    0.000    0.000 models.py:415(prepare_body)
        4    0.000    0.000    0.000    0.000 models.py:470(prepare_content_length)
        4    0.000    0.000    0.000    0.000 models.py:482(prepare_auth)
        4    0.000    0.000    0.000    0.000 models.py:504(prepare_cookies)
        4    0.000    0.000    0.000    0.000 models.py:524(prepare_hooks)
        4    0.000    0.000    0.000    0.000 models.py:53(path_url)
        4    0.000    0.000    0.000    0.000 models.py:552(__init__)
        4    0.000    0.000    0.000    0.000 models.py:642(is_redirect)
        4    0.000    0.000    0.000    0.000 models.py:659(iter_content)
        9    0.000    0.000    0.001    0.000 models.py:669(generate)
       12    0.000    0.000    0.001    0.000 models.py:736(content)
        4    0.000    0.000    0.000    0.000 models.py:74(_encode_params)
        4    0.000    0.000    0.000    0.000 models.py:760(text)
        8    0.000    0.000    0.000    0.000 ntpath.py:304(expanduser)
        8    0.000    0.000    0.000    0.000 ntpath.py:35(_get_bothseps)
      392    0.001    0.000    0.001    0.000 os.py:676(__getitem__)
      360    0.000    0.000    0.000    0.000 os.py:699(__iter__)
      392    0.000    0.000    0.000    0.000 os.py:738(check_str)
      392    0.000    0.000    0.001    0.000 os.py:744(encodekey)
       84    0.000    0.000    0.000    0.000 parse.py:100(_coerce_args)
        4    0.000    0.000    0.000    0.000 parse.py:137(username)
        4    0.000    0.000    0.000    0.000 parse.py:168(_userinfo)
        4    0.000    0.000    0.000    0.000 parse.py:252(geturl)
       32    0.000    0.000    0.001    0.000 parse.py:288(urlparse)
        5    0.000    0.000    0.000    0.000 parse.py:313(_splitnetloc)
       36    0.000    0.000    0.000    0.000 parse.py:321(urlsplit)
        8    0.000    0.000    0.000    0.000 parse.py:377(urlunparse)
